created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Thu Aug 17 15:09:39 +0000 2023,1.69219E+18,Ahok Sebut Kendaraan Listrik Bukan Solusi,0,0,0,0,in,236178979,1.69218E+18,e_gabagus,https://twitter.com/e_gabagus/status/1692184862663569887
Thu Aug 17 14:58:11 +0000 2023,1.69219E+18,Pernah suatu waktu ke sanghay liat peradaban modernisasi kendaraan listrik 70% lebih besar dari konven. All infrastruktur dari charge station,0,0,3,0,in,2925550519,1.69218E+18,lerkvd,https://twitter.com/lerkvd/status/1692181174112944389
Thu Aug 17 14:41:25 +0000 2023,1.69218E+18,Kan repot kalo pake kendaraan listrik.,0,1,0,0,in,1.67723E+18,1.69217E+18,arisupriyatno_,https://twitter.com/arisupriyatno_/status/1692170934789267671
Thu Aug 17 14:26:45 +0000 2023,1.69218E+18,alhamdulillah udah pada pake kendaraan listrik semua berarti ⚡⚡⚡,0,0,0,0,in,1.3079E+18,1.69206E+18,penjiah,https://twitter.com/penjiah/status/1692142488616923287
Thu Aug 17 13:55:37 +0000 2023,1.69217E+18,@SateDimas @fdstlk @uknee11 @Outstandjing Lho lho ... Gak jelas nih orang 🤣🤣🤣  Katanya mau ramah lingkungan.  Pembangkit Listrik batu bara menyumbang emisi karbon tinggi.   Percuma kendaraan listrik kalo masih pakai pembangkit dgn emisi karbon yg,0,0,0,0,in,1.20388E+18,1.69213E+18,antarabiz,https://twitter.com/antarabiz/status/1692128412725551431
Thu Aug 17 13:46:04 +0000 2023,1.69217E+18,Masalah polusi udara di gaungkan dan di beritakn sedemikian heboh dgn segala dampak dan konsekuensi nya di beberapa kota besar negeri ini. Tapi beberapa minggu yang lalu banyak berita untuk kendaraan listrik sampai ada banyak subsidi dari pemerintah. Oh mungkin ini kebetulan saja,0,0,0,0,in,9.44181E+17,1.69213E+18,inewsdotid,https://twitter.com/inewsdotid/status/1692126624836165772
Thu Aug 17 12:51:00 +0000 2023,1.69216E+18,Uji Ketahanan Kendaraan Listrik di GIIAS 2023,0,0,0,0,in,1.63269E+18,1.69199E+18,astadewa079,https://twitter.com/astadewa079/status/1692117139476607393
Thu Aug 17 11:53:02 +0000 2023,1.69214E+18,@kozirama kalo udh bnyk kendaraan listrik gini apakah nantinya bakal pada asal colok aja? Bakal ada kemungkinan pencurian listrik bakal marak terjadi dong ya apalagi sekali colok gini mudah bgt wkwk,0,0,0,1,in,1.38551E+18,1.69211E+18,ThePhraseID,https://twitter.com/ThePhraseID/status/1692114042981437515
Thu Aug 17 11:41:24 +0000 2023,1.69214E+18,Ahok Sebut Kendaraan Listrik Bukan Solusi,0,0,0,1,in,69595629,1.6921E+18,kpgnj,https://twitter.com/kpgnj/status/1692107507513381162
Thu Aug 17 11:38:19 +0000 2023,1.69214E+18,4. Diversifikasi Sumber Energi: Kendaraan listrik mengandalkan sumber energi listrik,0,0,0,0,in,1.03613E+18,1.69211E+18,dreperonlen,https://twitter.com/dreperonlen/status/1692107220962709614
Thu Aug 17 10:57:06 +0000 2023,1.69213E+18,Pengembangan kendaraan listrik dorong percepatan transformasi ekonomi https://t.co/E7InS6nl2Y,0,0,0,0,in,1.6757E+18,1.6921E+18,trenasiadotcom,https://twitter.com/trenasiadotcom/status/1692099462163038455
Thu Aug 17 10:50:00 +0000 2023,1.69213E+18,Pentingnya Edukasi Penanganan Kebakaran pada Kendaraan Listrik https://t.co/ELZHTWlpgM,0,0,0,0,in,132078023,1.6921E+18,officialinews_,https://twitter.com/officialinews_/status/1692095419147223265
Thu Aug 17 10:12:18 +0000 2023,1.69212E+18,@kompascom Pake masker pak sama kendaraan listrik,0,0,1,0,in,1854261536,1.69209E+18,sabhatansabiz,https://twitter.com/sabhatansabiz/status/1692091433342345672
Thu Aug 17 10:00:00 +0000 2023,1.69211E+18,Volvo Cars resmi kembali hadir di Indonesia dan pamerkan lini kendaraan listrik di GIIAS 2023! #ThePhraseID #Volvo #VolvoCars #EV #BEV #PHEV #GIIAS #GIIAS2023 #cars #mobil #automotive #otomotif  https://t.co/REhUiX3REy,0,0,1,1,in,3271146871,1.69209E+18,XHIndonesia,https://twitter.com/XHIndonesia/status/1692091392628277435
