created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Tue Sep 05 23:57:32 +0000 2023,1.69921E+18,PLN - Bank Mandiri percepat ekosistem kendaraan listrik di Bali https://t.co/qyka0IAWM6,0,0,0,0,in,91941244,1.69921E+18,antaranews_bali,https://twitter.com/antaranews_bali/status/1699210184826982749
Tue Sep 05 23:46:00 +0000 2023,1.69921E+18,@liaasister Maklum subsidi dialihkan ke kendaraan Listrik.......dan yg mampu beli bukan rakyat miskin.............biadab itu namanya!!!,0,1,1,1,in,1.54497E+18,1.6989E+18,MRONGOSASLI,https://twitter.com/MRONGOSASLI/status/1699207284017307975
Tue Sep 05 23:29:24 +0000 2023,1.6992E+18,@jokowi Cara mengelola limbah baterai bekas kendaraan listrik yang ramah lingkungan juga harus dipikirkan,0,1,0,1,in,284591697,1.69917E+18,J_Seantris,https://twitter.com/J_Seantris/status/1699202726209749005
Tue Sep 05 23:27:54 +0000 2023,1.6992E+18,@VIVAcoid BBM GRATIS BUAT KENDARAAN LISTRIK..,0,0,0,0,in,1.6271E+18,1.6983E+18,IndraSafari73,https://twitter.com/IndraSafari73/status/1699202348646822318
Tue Sep 05 23:26:24 +0000 2023,1.6992E+18,@NenkMonica Habis proyek covid muncul proyek kendaraan listrik,0,0,0,0,in,1.51363E+18,1.69919E+18,poblepuff,https://twitter.com/poblepuff/status/1699194594028863852
Tue Sep 05 22:55:35 +0000 2023,1.69919E+18,"orang beli mobil bahan bakar bensin dikatain ga sayang sm minyak bumi?"" skrng tren kendaraan listrik giliran isu tambang nikel sm sumber listrik yg masih pake batu bara""",0,3,0,1,in,1.33969E+18,1.69916E+18,zharfaaaaaan,https://twitter.com/zharfaaaaaan/status/1699157152370507960
Tue Sep 05 20:26:48 +0000 2023,1.69916E+18,infokan kendaraan listrik yang go green dan sangat cinta lingkungan dan sangat sustainable dan sangat dan sangat dan sangat 🫵 https://t.co/YPzsItYNCK,0,0,0,0,in,1.63951E+18,1.69907E+18,vickyelkhaer,https://twitter.com/vickyelkhaer/status/1699141287696556151
Tue Sep 05 19:23:46 +0000 2023,1.69914E+18,@adriandanarw Hebat Luhut. Baru ngeluarin wacana kendaraan listrik aja langit udah mulai biru apalagi udah terealisasi.  Menteri Segala Tindakan Urusan dan Situasi (Menstruasi). Pak Luhut 🔥,0,1,0,0,in,1.35475E+18,1.69911E+18,kiana_chanxx,https://twitter.com/kiana_chanxx/status/1699110874315907293
Tue Sep 05 17:22:55 +0000 2023,1.69911E+18,Wkwkwkwkwk mau berbagai banyak ngo lingkungan di indonesia tetep kalah dah sama pltu suralaya :( sebagai seseorang yg sempat mendalami ttg perubahan iklim tuh jujur jujur bgt kecewa dengan pilihan2 pemerintah yg aneh kyk kendaraan listrik tp masih pake batu bara,4,4,32,69,in,55108943,1.69908E+18,BanyuSadewa,https://twitter.com/BanyuSadewa/status/1699075752535412999
Tue Sep 05 15:38:51 +0000 2023,1.69908E+18,Koar2 suruh ganti kendaraan listrik biar ngurangin pencemaran emisi. Narasi so ilmiah mau bangun indonesia bisa green energy,0,0,0,0,in,1.20388E+18,1.69908E+18,antarabiz,https://twitter.com/antarabiz/status/1699075568447389874
